city,city_ascii,lat,lng,admin_name,population,admin_name_english
Tuchola,Tuchola,"53,6","17,85",Kujawsko-Pomorskie,13408,Kuyavian-Pomeranian
Zawodzie,Zawodzie,"50,2585","19,0449",Śląskie,13406,Silesia
Gołdap,Goldap,"54,3161","22,3094",Warmińsko-Mazurskie,13378,Warmian-Masurian
Słupca,Slupca,"52,3","17,8667",Wielkopolskie,13353,Greater Poland
Człuchów,Czluchow,"53,65","17,3667",Pomorskie,13343,Pomerania
Barlinek,Barlinek,53,"15,2",Zachodniopomorskie,13339,West Pomerania
Morąg,Morag,"53,9167","19,9333",Warmińsko-Mazurskie,13317,Warmian-Masurian
Wąbrzeźno,Wabrzezno,"53,2833","18,95",Kujawsko-Pomorskie,13317,Kuyavian-Pomeranian
Dębno,Debno,"52,7333","14,7",Zachodniopomorskie,13291,West Pomerania
Żnin,Znin,"52,85","17,7",Kujawsko-Pomorskie,13268,Kuyavian-Pomeranian
Lubsko,Lubsko,"51,7833","14,9667",Lubuskie,13240,Lubusz
Leżajsk,Lezajsk,"50,2667","22,4333",Podkarpackie,13164,Subcarpathian
